 Module   5                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  29|   3|   0|  0.0000|  2.3850|   1396.7810
  86|  29|   3|   7|269.0000|  2.3540|   1402.9399
 Module  30                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 256|  30|   0|   0|  0.0000|  2.2730|   1399.0170
 120|  30|   0|   7|267.0000|  2.3300|   1364.4720
 224|  30|   1|   0|268.0000|  2.3430|   1389.2581
 286|  30|   1|   7|266.0230|  2.3680|   1388.9800
 287|  30|   2|   0|262.8007|  2.3150|   1393.1541
 113|  30|   2|   7|268.0000|  2.3470|   1413.9260
  87|  30|   3|   0|267.0000|  2.3140|   1395.1060
 290|  30|   3|   7|263.9403|  2.3690|   1386.7600
 Module  31                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 157|  31|   0|   0|263.0000|  2.3440|   1374.0590
 999|  31|   0|   7|  0.0000|  2.3510|   1403.2209
 999|  31|   1|   0|  0.0000|  2.3060|   1412.7950
 121|  31|   1|   7|265.0000|  2.3200|   1373.2340
 999|  31|   2|   0|  0.0000|  2.3450|   1351.9730
 178|  31|   2|   7|170.0000|  2.3230|   1399.2970
 191|  31|   3|   0|271.0000|  2.3070|   1384.2660
 115|  31|   3|   7|265.0000|  2.3720|   1405.4680
 Module  32                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 130|  32|   0|   0|267.0000|  2.3370|   1392.5970
 999|  32|   0|   7|  0.0000|  2.3980|   1405.1870
 999|  32|   1|   0|  0.0000|  2.3570|   1373.5090
 188|  32|   1|   7|273.0000|  2.2990|   1441.0490
 133|  32|   2|   0|265.0000|  2.3530|   1385.0970
 123|  32|   2|   7|268.0000|  2.3580|   1387.3149
 999|  32|   3|   0|  0.0000|  2.3750|   1384.8199
 294|  32|   3|   7|263.1391|  2.3890|   1391.2050
 Module  33                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 142|  33|   0|   0|262.0000|  2.4150|   1409.4091
 219|  33|   0|   7|270.0000|  2.3250|   1420.1610
 999|  33|   1|   0|  0.0000|  2.2050|   1359.5680
 141|  33|   1|   7|262.0000|  2.4050|   1393.7111
 341|  33|   2|   0|269.1514|  2.3830|   1423.5740
 999|  33|   2|   7|  0.0000|  2.3060|   1437.5940
 999|  33|   3|   0|  0.0000|  2.2380|   1440.1851
 999|  33|   3|   7|  0.0000|  2.3600|   1445.0900
 Module  34                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 180|  34|   0|   0|267.0000|  2.3350|   1389.8140
 302|  34|   0|   7|291.9054|  2.2230|   1390.6479
 999|  34|   1|   0|  0.0000|  2.2500|   1454.6610
 295|  34|   1|   7|278.9924|  2.2590|   1419.5930
 999|  34|   2|   0|  0.0000|  2.3150|   1428.1370
 274|  34|   2|   7|  0.0000|  2.3300|   1410.5370
 999|  34|   3|   0|  0.0000|  2.3600|   1427.8510
 196|  34|   3|   7|277.0000|  2.2910|   1328.6370
 Module  35                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 170|  35|   0|   0|265.0000|  2.3600|   1357.3929
 100|  35|   0|   7|268.0000|  2.3210|   1391.2050
 999|  35|   1|   0|  0.0000|  2.3100|   1371.5870
 999|  35|   1|   7|  0.0000|  2.1540|   1360.3840
 235|  35|   2|   0|270.0000|  2.2910|   1408.8450
 232|  35|   2|   7|268.0000|  2.2930|   1391.7610
 148|  35|   3|   0|263.0000|  2.3730|   1368.0250
 129|  35|   3|   7|267.0000|  2.3690|   1421.8660
 Module  36                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  36|   0|   0|  0.0000|  2.3220|   1419.3090
 999|  36|   0|   7|  0.0000|  2.3650|   1407.1550
 152|  36|   1|   0|  0.0000|  2.3240|   1427.5649
 217|  36|   1|   7|273.0000|  2.2930|   1433.8610
  80|  36|   2|   0|  0.0000|  2.3440|   1461.3700
 106|  36|   2|   7|262.0000|  2.4120|   1411.9480
 999|  36|   3|   0|  0.0000|  2.3680|   1413.9260
 210|  36|   3|   7|272.0000|  2.3400|   1428.9940
 Module  37                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  37|   0|   0|  0.0000|  2.3460|   1428.9940
 999|  37|   0|   7|  0.0000|  2.3800|   1393.7111
 999|  37|   1|   0|  0.0000|  2.3370|   1420.1610
 999|  37|   1|   7|  0.0000|  2.3710|   1424.7130
 103|  37|   2|   0|266.0000|  2.3690|   1402.0990
 304|  37|   2|   7|278.1528|  2.1990|   1388.7030
 171|  37|   3|   0|263.0000|  2.3740|   1384.2660
 195|  37|   3|   7|274.0000|  2.3300|   1471.6400
 Module  38                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 236|  38|   0|   0|270.5000|  2.3090|   1431.5680
 299|  38|   0|   7|286.2253|  2.2010|   1430.9960
 300|  38|   1|   0|297.5727|  2.2740|   1414.2090
 999|  38|   1|   7|  0.0000|  2.3870|   1421.2980
 999|  38|   2|   0|  0.0000|  2.3410|   1414.7750
 110|  38|   2|   7|270.0000|  2.3110|   1402.3790
 183|  38|   3|   0|268.0000|  2.3630|   1387.5920
 331|  38|   3|   7|282.5621|  2.3700|   1440.7610
 Module  39                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 276|  39|   0|   0|  0.0000|  2.2900|   1427.8510
 119|  39|   0|   7|266.0000|  2.3460|   1385.0970
 999|  39|   1|   0|  0.0000|  2.3390|   1428.1370
 118|  39|   1|   7|265.0000|  2.3700|   1410.2550
 999|  39|   2|   0|  0.0000|  2.3840|   1386.7600
 112|  39|   2|   7|267.0000|  2.3700|   1416.4730
 999|  39|   3|   0|  0.0000|  2.3330|   1422.7200
 999|  39|   3|   7|  0.0000|  2.3070|   1471.3459
 Module  40                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 249|  40|   0|   0|  0.0000|  2.3050|   1414.7750
 190|  40|   0|   7|273.0000|  2.3170|   1445.6680
 308|  40|   1|   0|296.0000|  2.2120|   1382.8820
 999|  40|   1|   7|  0.0000|  2.3360|   1419.5930
 124|  40|   2|   0|264.0000|  2.3830|   1408.8450
 380|  40|   2|   7|267.5676|  2.3000|   1429.8510
 218|  40|   3|   0|274.0000|  2.3660|   1388.4250
 237|  40|   3|   7|272.1000|  2.2870|   1419.0260
 Module  41                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  41|   0|   0|  0.0000|  2.3280|   1450.5930
 999|  41|   0|   7|  0.0000|  2.3130|   1422.4351
 999|  41|   1|   0|  0.0000|  2.3100|   1435.2960
 999|  41|   1|   7|  0.0000|  2.3150|   1447.4050
 999|  41|   2|   0|  0.0000|  2.3650|   1400.6980
 999|  41|   2|   7|  0.0000|  2.2710|   1370.2159
 999|  41|   3|   0|  0.0000|  2.3850|   1379.5670
 999|  41|   3|   7|  0.0000|  2.3010|   1385.3740
 Module  42                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  42|   0|   0|  0.0000|  2.2870|   1412.5129
 999|  42|   0|   7|  0.0000|  2.3180|   1294.7550
 999|  42|   1|   0|  0.0000|  2.3950|   1403.5020
 999|  42|   1|   7|  0.0000|  2.3880|   1424.4280
 181|  42|   2|   0|267.0000|  2.3410|   1410.2550
 105|  42|   2|   7|264.0000|  2.3660|   1369.6680
 999|  42|   3|   0|  0.0000|  2.2490|   1430.9960
 999|  42|   3|   7|  0.0000|  2.3570|   1381.5000
 Module  43                   
  Ser.|Mod.|Lay.|Dll.|  Windin| Impedance
 -----------------------------
 999|  43|   0|   0|  0.0000|  2.3120|   1415.3409
 999|  43|   0|   7|  0.0000|  2.3520|   1374.8840
 255|  43|   1|   0|  0.0000|  2.2180|   1416.1899
 215|  43|   1|   7|277.0000|  2.2180|   1398.4580
 285|  43|   2|   0|263.5769|  2.3670|   1390.9270
 161|  43|   2|   7|267.0000|  2.3450|   1409.1270
 361|  43|   3|   0|  0.0000|  2.4020|   1389.5360
 200|  43|   3|   7|275.0000|  2.3110|   1511.6479
