    LAYER  SECTOR    WIRE      GAIN
        2      14       1    0.002471
        2      14       2    0.002319
        2      14       3    0.002370
        2      14       4    0.002670
        2      14       5    0.002687
        2      14       6    0.002072
        2      14       7    0.001343
        2      14       8    0.001373
        2      14       9    0.001815
        2      14      10    0.001756
        2      15       0    0.001449
        2      15       1    0.001990
        2      15       2    0.002116
        2      15       3    0.001762
        2      15       4    0.001806
        2      15       5    0.002066
        2      15       6    0.001645
        2      15       7    0.001475
        2      15       8    0.001562
        2      15       9    0.001950
        2      15      10    0.002045
        2      16       0    0.001561
        2      16       1    0.002154
        2      16       2    0.002343
        2      16       3    0.002057
        2      16       4    0.001927
        2      16       5    0.002253
        2      16       6    0.001325
        2      16       7    0.001591
        2      16       8    0.001732
        2      16       9    0.001824
        2      16      10    0.002027
        2      17       0    0.001251
        2      17       1    0.001966
        2      17       2    0.001965
        2      17       3    0.001868
        2      17       4    0.002184
        2      17       5    0.001953
        2      17       6    0.001879
        2      17       7    0.001634
        2      17       8    0.001519
        2      17       9    0.002088
        2      17      10    0.001980
        2      18       0    0.001366
        2      18       1    0.001606
        2      18       2    0.001677
        2      18       3    0.002394
        2      18       4    0.001640
        2      18       5    0.001909
        2      18       6    0.001600
        2      18       7    0.001506
        2      18       8    0.001404
        2      18       9    0.001690
        2      18      10    0.001608
        2      19       0    0.001426
        2      19       1    0.002670
        2      19       2    0.002110
        2      19       3    0.001895
        2      19       4    0.001979
        2      19       5    0.001931
        2      19       6    0.001690
        2      19       7    0.001566
        2      19       8    0.001558
        2      19       9    0.001917
        2      19      10    0.001823
        2      20       0    0.001366
        2      20       1    0.002353
        2      20       2    0.002354
        2      20       3    0.002382
        2      20       4    0.002113
        2      20       5    0.001964
        2      20       6    0.001830
        2      20       7    0.001456
        2      20       8    0.001416
        2      20       9    0.001910
        2      20      10    0.002013
        2      21       0    0.001661
        2      21       1    0.002630
        2      21       2    0.001955
        2      21       3    0.002163
        2      21       4    0.002020
        2      21       5    0.002405
        2      21       6    0.001503
        2      21       7    0.001668
        2      21       8    0.001588
        2      21       9    0.001844
        2      21      10    0.001794
        2      22       0    0.001746
        2      22       1    0.001891
        2      22       2    0.002052
        2      22       3    0.001840
        2      22       4    0.002011
        2      22       5    0.002119
        2      22       6    0.001675
        2      22       7    0.001586
        2      22       8    0.001527
        2      22       9    0.001799
        2      22      10    0.001850
        2      23       0    0.001178
        2      23       1    0.002300
        2      23       2    0.002313
        2      23       3    0.001766
        2      23       4    0.001688
        2      23       5    0.002253
        2      23       6    0.001635
        2      23       7    0.001359
        2      23       8    0.001446
        2      23       9    0.001977
        2      23      10    0.002167
        2      24       0    0.001354
        2      24       1    0.002178
        2      24       2    0.001692
        2      24       3    0.001646
        2      24       4    0.002154
        2      24       5    0.001794
        2      24       6    0.001632
        2      24       7    0.001533
        2      24       8    0.001496
        2      24       9    0.002074
        2      24      10    0.002175
        2      25       0    0.001233
        2      25       1    0.001596
        2      25       2    0.001571
        2      25       3    0.001434
        2      25       4    0.001859
        2      25       5    0.002054
        2      25       6    0.001614
        2      25       7    0.001297
        2      25       8    0.001297
        2      25       9    0.001823
        2      25      10    0.001845
        2      26       0    0.001343
        2      26       1    0.001816
        2      26       2    0.002348
        2      26       3    0.001497
        2      26       4    0.001790
        2      26       5    0.001891
        2      26       6    0.001552
        2      26       7    0.001434
        2      26       8    0.001725
        2      26       9    0.001700
        2      26      10    0.001661
        2      27       0    0.001513
        2      27       1    0.001953
        2      27       2    0.001705
        2      27       3    0.001720
        2      27       4    0.001960
        2      27       5    0.001933
        2      27       6    0.002011
        2      27       7    0.001727
        2      27       8    0.001528
        2      27       9    0.002014
        2      27      10    0.001948
        2      28       0    0.001747
        2      28       1    0.001891
        2      28       2    0.001726
